"","name","location","rating","text"
"11","Katie N.","Fort Dodge, IA",5,"I showed up in the ER because I was in a lot of pain and feeling sick from the pain.  Twice in a lot of pain, the doctor  had given good pain medicine.  Even when I ended up with really bad panic attacks and unable to do the MRI, they didn't get upset with me and just went based on what they did get to compare with the one from 2 months before.They got someone from the Spine Center to talk to me and help me.  They seem like they care about their patients.   Good hospital."
"12","Karen H.","Fort Lauderdale, FL",1,"I made an appointment on line for my 91 yo dad. They called me back to say that there were no appointments for neurology because of huge demand. They don't do complete work ups . I called customer experience to complain that i couldnt get an appointment there for my father . Shannon in customer experience wouldnt talk to me saying it was against hippa violations. As a lawyer and a nurse I can assure you making an appointment for a patient does not violate hippa. They have no pt info on file to share therefore no violation. She has no idea about what she is telling  potential customers . The whole experience was ridiculous and just from my initial experience I would never recommend a patient seek treatment there.    They also said they dont take medicare patients even if they have the most expensive and best supplements and means to pay out of pocket. ."
"13","Bailey M.","Mount Hope, KS",1,"Today I had one of my most frustrating and pointless appointments of my life. I traveled from Texas to Rochester for an appointment due to 8 years of health issues and struggling to get out of bed each day. I was sent to an endrocrinologist from the neurology department and I was so excited. I have so many health issues and a lot of it seems to be hormone based. I had an appointment with Diana S Dean. I brought a typed and printed list of all my issues. She high fived with me with her elbow 4 times, muttered to herself, took one look at my list and handed it to my husband. Asked if I wanted to be referred to the PCOS clinic, which I said yes to, I'll see as many doctors as I can while in the area. Then she stood up, said I don't think you have hypo or hyper thyroidism right now and walked out the door. That was it. No help at all. There is SO MUCH more to endrocrinolgy than that. Then we walked out to get the PCOS appointment scheduled and they are booked out solid. So here I am.... having spend $3,000 between flights, hotel and car rental... and I didn't get any help. Devastated doesn't begin to cover it. The Neurologist I saw was great but only confirmed I have chronic migraines and they are not curable. She referred me to the gastro department, women's health and chronic pain. However, they are all booked. So they want me to come back in a few months and even then 2 of the 3 are not accepting appointments. So I came all this way and I booked a week stay as the coordinator told me to and no one is helping. If this is how they function they should have a phone consultation for the first appointment and then set up all the doctors for you for one week. This frustrating, heart breaking and I have never been more disappointed in the medical system. And this is supposed to be the #1 hospital in America?? Posting photos to be seen. Beautiful campus. Gardener is doing great but other than that I am gut wrenched over this trip."
"14","Michelle F.","Hesperia, CA",5,"Best hospital experience ever. Friendly knowledgeable staff that take the time to listen and understand your concerns. We traveled from out of state and had all of our appts during the same week, we even added lab work and a movement lab that were done at the last minute. If you have the option of using this facility....do it!"
"15","George K.","Rio Vista, CA",1,"You are a horrible, horrible organization that poses as giving hope to solve health issues and played that game with us for a year and a half, then played GOD and took that hope away after we spent over $10,000.00 and insurance and medicare spent hundreds of thousands of dollars. Shame on you for taking advantage of us and insurance company and taxpayer dollars."
"16","Sue B.","MO, MO",2,"Have been a patient at Mayo in Rochester for over three decades.  In all of that time I've had very few negative experiences. Just recently I had an exchange with a highly rated Dr. Viggiano I had never seen or met before.  I arrived for a procedure and was told after well more than an hour it could not be completed.  The doctor who was apparently to do the procedure appeared at the side of the bed they were in the process of putting me in. I was halfway on the bed as he came around to the left of me, stood very close to my face,  and,  in a VERY loud voice, explained they were not going to be able to do that procedure and went on to explain why in a  loud and condescending voice. This  took place in the recovery and the room you get ready to go to the procedure. it was not a large room and I am convinced that anyone in that room could've heard him shouting. I'm not sure what upset him but I clearly did. Afterwards,  I thought he assumed because I am older,  I was deaf and feeble minded. It was a most upsetting time and I hope somebody said something after I left.  While I was disappointed the procedure had to be rescheduled, that is clearly NOT what I am upset about."
"17","David H.","Traverse City, MI",3,"Dissapointed. A grueling week of very expensive tests. At the end of the week I had a consult with one doctor for less then an hour to review the findings. He only talked about one of the tests. I have to assume all the other tests were fine. But I am not sure how fine. Also, there will be no follow-up, on-site or remotely, for questions or concerns or next steps. Sometimes Mayo seems like very large, very efficient money machine. They are VERY good at sending you to a lot of tests; but not so good at telling you what the results were or what they mean, or in decribing what your path forward might be, or in providing any ongoing follow-up. If you want some great testing, in a well oiled machine; this is your place. If you want some detailed analysis of your issue, and ongoing support, you will need to find that seperately. All the best, David"
"18","Aleyysha A.","North San Jose, San Jose, CA",1,"They charged me for reviews of exams that i did not ask them to. When asked they said they deem necessary to. I said if i have to pay for them i should have been informed but no one informed me. They claim the dr during the tele visit had told me there is a charge for review. I told them to take a look at the video. It is INCORRECt. The dr never said that. They said they dont record tele visits. The doctors can say whatever tjey want but the patient is always wrong. This is unfair and i would recommend to stay away from mayo clinic. There is sonething shady about these people.. The dr in her written notes said she will have her assistance send some brochures which were never sent.The dr said she will call me once the review of requested imaging is done. She never called me back!! Instead expected me to figure out that i should check for her message in their portal.Disorgainized, shady, daying things that were never said/done. I would not recommend them.."
"19","Stephanie M.","Madison, WI",5,"AMAZING!! This is by far and away the best hospital I've ever been to and received treatment at. The staff are friendly and helpful, and they actually go out of your way to make sure you receive the proper care. It's a nice change of pace from the local hospital that I would see my doctor at which took forever to get an appointment."
"20","Teri D.","Baton Rouge, LA",1,"As a retired nurse practitioner, I had always heard how ""awesome""  and wonderful Mayo Clinic is.I was looking into a clinical trial and had all the tests, diagnostics and records.  Mayo charged me over TWO THOUSAND DOLLARS to read the eight pages of records and then repeated every test I'd already had LESS THAN TWO WEEKS BEFORE COMING TO MAYO and charged me another TWELVE THOUSAND DOLLARS for that.  Then I got to see a doctor for about 10 minutes for FOUR HUNDRED DOLLARS more and was sent on my way with literally nothing other that the results of the tests which were identical to the ones I sent to Mayo, with the bonus of a huge dose of CT radiation that is totally contraindicated since I have Li-Frau syndrome--which was on the records Mayo charged me 2 grand to read.I was totally unimpressed with Mayo when I was there in February 2020.  Mayo is a ridiculously overpriced medical mill that has no interest in anything other than generating revenue and churning out unneeded medical tests and other crap. I would rather go to a veterinarian than a Mayo Clinic doctor.  I would get better care."
"21","Helen B.","Kansas City, MO",1,"Have been a Mayo patient for over three decades. My experiences over the past year have led me to conclude that the high level of patient care I experienced in the past has somehow changed drastically for the worst. Yes,  I wrote the office of Patient Experience. Worthless. Did not even address the issue I wrote about and transferred  the blame to a department who were not even an issue.  I am disappointed in the care, lack of information, communication, and follow-up."
"22","Garrett R.","New York, NY",5,"It's #1 in the world for a reason. Top care and amazing facilities."
"23","Deborah W.","Concord, NC",1,"""top rated in the nation""??? Surprised that the Mayo Clinic is known to be one of the top rated cancer facilities in the nation. With that being said, we DID NOT receive ""top rated"" care.  Traveled from NC to Florida to hopefully get some help. My brother has cancer and made the drive for an appointment scheduled for 01/05/2022.  We received a call early morning on the day of the appointment to find out the Dr that he was schedule to see was ""showing signs of Covid"", which I can assure you isn't our complaint. However, he was scheduled with another physician, Dr. Jones.  This ""doctor"" did ABSOLUTELY NOTHING!!! DID NOT even exam my brother !! Had a ""cocky"" attitude. Showed zero compassion, and needs his arrogance taken down a few notches. While the nurse was trying to talk, he basically ran her out of the room. What an absolute disappointment, waste of time, not to mention the money that this trip cost (which is the least of our concerns) and I can't express enough just how let down we feel. The young folks that work at Chick-Fil-A show more kindness and compassion than this doctor and I walk away feeling better about life!But not here!!!!"
"24","Jamison T.","Austin, TX",5,"I have been a MC patient since 2019. I had open heart surgery there in 2020. Their dental specialty department is awesome! I go there for all my medical issues. Every department runs like a well oiled machine. There is a reason they are best in world."
"25","pam m.","IL, IL",5,"I was diagnosed with cancer on 2020, during the height of Covid.  The hospitals in Chicago told me there was not they could do.  Maybe clinical trials.  I got an appointment at Mayo, and I am still here.  They can't cure the cancer, but they can treat it.  All of the staff, from the screeners to the Doctors.  Are very caring and loving.  God bless Mayo and all of the staff."
"26","Philip M.","Hallandale Beach, FL",5,"I am a retired urologic surgeon who has visited the clinic in Rochester 19 times since 2009 for various cardiologic, urologic, neurological and dermatologic diagnoses. Cardiac surgery performed in 2009 saved my life and corrected right heart failure. I did my surgical training at a world famous hospital and it cannot even be compared to the superb quality of care I have received at Mayo. I have been so impressed with the quality and compassionate care at Mayo that I immediately became what the institution calls a ""Major Benefactor"". In all my visits every single physician, nurse, and ancillary staff with whom I have interacted has been nothing else but courteous, compassionate, and desirous of returning me to good health. Follow up questions I may have had were promptly answered on my patient portal by my physicians. Could that be because I am a physician? Could be but I have recommended many of my relatives to Mayo and they have all been equally impressed."
"27","Bon H.","Miami, FL",5,"Cannot emphasize enough how great Mayo was! The staff, from the reception desks to the nurses to the techs to the doctors - they were wonderful! Our 15 year-old daughter has a chronic pain condition and was dealing with several other health concerns. We had to have different tests and the schedule changed frequently. It was a good thing because they knew what to do and what would be most helpful for our girl. The staff bent over backwards to make sure they got her in to see the right specialists and get the right tests. Super friendly people and a great place to get results! So thankful we had the opportunity to go!"
"28","Stan E.","San Francisco, CA",1,"dont listen to rumors about this bs clinic!!we have been told clinic in rochester will help my dad post stroke rehab,but clinic only takes easy cases for huge money,and personal are liars!!!if you got crazy money,go and waist there!!!!!"
"29","Bob B.","Denver, CO",5,"Great place to go too for sure I you have the time. To spend. I was there 10 days and were were lucky to         abable to see all their doctors  in such a short window li gave them Open dates to attend so they got to close when they wanted to see me. I learned a lot about the Mayo @ Mayo very interesting facility for sure. They diffidently had their act together over all ten days I learned a great deal about myself o did not know- I'm wondering kid really should have went oh well At least  now I know !?!??"
"30","Courtney C.","Homestead, Plano, TX",1,"I had the worst experience of my life here.  I've had a lifelong illness that I'm am trying to figure out what it is, and the doctor just laughed at all my symptoms and told me I was making stuff up.  He did nothing after only one test came back normal.  He refused to do anything else after here.  I highly do NOT recommend this place at all."
"31","Thiyagarajan C.","Folsom, CA",1,"Had an appointment with Dr Andrew J Barkmeier, Retina specialist at the Rochester campus. Based on the visit it was evident that he didn't read the medical history. He got annoyed when I asked him questions and was totally inconsiderate. I had expressed this to the office of patient experience to which they responded saying, they did not find anything wrong and diagnosis was correct. They did not address the main concern of my complaint. I also realized contacting office of patient experience is useless. I hope others don't get treated like this."
"32","Timothy T.","Farmingdale, NJ",5,"Anyone can go to Mayo providing you have health insurance; pretty tough without. You don't have to ""know"" someone nor do you have to be referred by your local physician. I am lucky to be in pretty good health overall but physicals given to me over the years by my primary care doc, have left me with the feeling that it seemed cursory, and a vague feeling that they may have overlooked something. A good friend of mine goes here every year and suggested I come along. You tell Mayo the issues that concern you, tell them how long you are available, and they set up appointments. In my case I was there from Monday to Friday. They give you your complete itinerary for the week complete with what building, floor, room, time, what to bring, etc. At first glance one may be overwhelmed by where to go but there are literally signs everywhere. If that's not enough friendly staff are more than eager to show you where to go or what you need to know. The Mayo Clinic is comprised of many buildings mostly connected via underground walkways or over surface skyways. It's like a miniature indoor city with people from all over the world bustling from appointment to appointment. There's artwork everywhere and you just may walk through an atrium where someone is playing the baby grand. On a couple of occasions I spent over 90 minutes just talking to a doctor; that does not happen at home. The level of expertise here is staggering plus you are treated quite well and they listen to what you have to say. I had some free time and took a guided tour of Mayo. It included the museum and information about the 100 year + history of the Clinic."
"33","Rebecca W.","Tempe, AZ",5,"I went to the Mayo Clinic ER because of my COVID symptoms and let me tell you! My experience was exceptional! From the moment I came in, I felt cared for by Anthony and Melissa who wheeled me to the ER. Jenny was very kind as she set me up in room 25, and Nurse Maria C took it from there. She is the kindest, most compassionate human I've met in a while. She made me feel like I was one of her own and made sure I knew my rights, knew what was happening and why, made sure I was comfortable, and help set me up with transportation because I walked to the hospital in the first place. She made me feel safe, cared for, and valued. I am so thankful to have met her, let alone been in her care. While she was helping me, a wonderful woman named Alex helped me with my EVP (I think that's what it's called?) and she was also a kind soul.Nurse Maria and everyone else here are hero's, fighting the good fight. I will always remember my experience at the Mayo Clinic. Thank you so much!"
"34","Marcia B.","Medina, WA",1,"This was a total waste of time, effort, and money!After waiting over a year, I visited this institution for an unusual condition that I had suffered from daily. I received testing for some rare but, easily known conditions that I do not have and knew I did not have before the testing! The neurologist that I saw STILL cannot come to terms with the fact that I experience neurological TREMORS and not HEART PALPITATIONS! He did an incredibly foul job of directing my care; did not have me see and endocrinologist and the cardiologist I saw was so junior and superficial that he was more concerned with my weight than the condition that brought me to Mayo (and caused my weight gain). I was and still am in extreme physical distress daily and received NO help whatsoever from my interaction with this institution. Instead I was run through the massive machine of Mayo by a neurologist who is so past his expiration date that he cannot repeat back what is said to him nor track email correspondence properly and who RELENTLESSLY PROJECTS imaged dialogue into our conversations. The only time he is awakened is when his ego is affected. This institution is a DEVASTATING DISAPPOINTMENT!!! (And yes, I know that all caps mean I am yelling but, when you suffer relentlessly and the folks at Mayo lose you in the cogs of their treatment rhythms, diagnostic projections, practitioner ego, and bureaucracy, you would want to yell too!) What they have given me is more despair and sorrow to overcome on top of my already challenging condition!Go there if you need to but, do so with your eyes open!!!"
"35","Lucy J.","Fort Lauderdale, FL",1,"I called to make an appointment for my mom who is suffering from a severe pain due to arthritis , neck and shoulder pain . Mayo Clinic rep called me 2 hours later after a scheduled call and said that she can offer an appointment 10 month from today! This is how they want to help 75 year old patient with severe pain?!!! They DON'T CARE !Unprofessional, cruel and difunctional institution!"
"36","Megan T.","Alhambra, CA",5,"I visited here just to walk around and look at everything this place has to offer. I did not receive any treatment here. But the hospital is huge and interesting to walk through. They have a beautiful meditation room. There is an interesting store that offers educational health books that I ended up buying 2 of. There is an educational room where they have human diagrams and models to look at and interact with. There are also a ton of pamphlets and DVDs on diseases, disorders, and healthier lifestyles. I really loved this room because they offered so many informational materials on all the chronic diseases and disorders that the U.S. face."
"37","David J.","Minneapolis, MN",5,"Oral Surgery/Dental/ TMJ.    My wife had TMJ problems for years while in the Air Force.   The best she could get from the USAF medical establishment was a few arthroscopies on her jaw with irrigation to get debris out and some steroids injected into the joints.   Her jaw would pop,  dislocate and was very painful.    The VA saw her and sent her to a local Oral Surgeon.  He said the TMJ issues were beyond his ability and referred her to the Oral Surgery/MD department at the Mayo.   First impression:  Incredible efficient,   we went over there and she needed a few consults with Internal Medicine and Orthopedics for unrelated issues but issues that could have impacted her TMJ care.   No ""Make an appointment next month""   they rolled her in a wheel chair to each of the departments and she got an immediate consult.   She got all the lab tests,  X-Rays,  CTs and every thing she needed for the TMJ surgery during that very first visit.   We came back a month later and she got the surgery.   One week stay in the local area for recovery then we went home.   No problems at all.   No surprise bills at all.   One follow up two months later and everything was great.   It is now four years after her surgery and still no problems.    We have never seen such an efficient well run medical facility.    The biggest ""good""  was no complications,  the second is no surprise bills after the procedure.     It is no wonder to us why the Mayo is rated as #1 in the USA."
"38","Amy R.","Denver, CO",1,"I'm a chronic pain patient who hasn't been able to get a proper diagnosis let alone any relief. My insurance coverage is top notch .  I applied for treatment at the mayo and they turned me down with a form letter. Meanwhile I get to see their major advertising campaign on television.  What a racket."
"39","Brad B.","San Antonio, TX",1,"Not the same level of care I received in 2011. Last time I had to visit, I didn't feel like a number. Things are quite different now. Disappointing to travel this far. If I wanted to feel like a number I could have gone to Baskin Robbins for a lot less."
"40","Neal M.","Grand Forks, ND",1,"I had a cervical spinal stenosis surgery in March of 2012 by Dr. William Krauss, the head of the Neuro-surgery department. The surgery was supposed to be minimally invasive but when I woke up from the nearly 5 hour surgery, my left arm and leg were paralyzed. Another 5 hour surgery the next day partially restored some movement. He did a corpectomy on C4-C5-C6 and fusion with a metal plate and screws. The second surgery was a laminectomy of C4-C5-C6 to try to relieve pressure at that level.Since then, I have been in severe burning nerve pain.  I have been to several doctors and tried everything to relieve the pain. Most recently, a spinal cord stimulator that didn't help either.Mayo Clinic has 200 lawyers on staff to hide cases such as mine. They only allow good will to be spread about themselves. Some have called it ""Mayo-naisse"".I tried to sue them but two super lawyers in Minneapolis wouldn't even try to go after Mayo.It seems you basically sign your life away when you go there fir help. I just wanted to be able to enjoy my life. I'm 66 now and just hoping I don't have to live much longer like this. Severe 24/7 pain wears on a person.If I could go back in time, I would have had my surgery performed by a competent surgeon. My current neurosurgeon has fixed many of Dr. Krauss' mistakes. He was unable to fix mine however.So, I am doomed to taking pills every 6 hours 24/7. Even with the medications,  my pain level remains around an 8 on the 1-10 scale. Some days are worse."
"41","David W.","Mountain View, Albuquerque, NM",1,"The almighty mayo is a scam!Mayo ain't worth the effort .  Worst medical experience ever.  As a caregiver the incompetence and corruption are  staggering.  Neurology.  Gave me a splitting headache and chest pain every phone call.  Yes.  There cherry pick cases. If you don't get accepted consider it a blessing.  The ""staff"" are the priority. Malpractice abounds even before you get thru intake.  They hung up on the patient.   Saying more would just waste my time.  Mayo is dead.  Get ready to accept that this American icon is a fraud.  Run. Do not give them access to cash. Had Medicare thankfully.  They use the word help. I just want them to do their jobs.  So sad. Speechless.  World class in their own minds! No class. Zero empathy, sensitivity or training. They hung up on a patient with severe cognitive depression.  Hung up on the patient.  Hung up on the patient.  Lost count how many times they hung up on me.  I don't forgive or forget this abusive treatment.  So many princess enablers!  The mayo is dead.  Not for profit . Lmao Only for their profit.  Do not use out of pocket money unless you're bezos rich!!!!"
"42","Jessica T.","Milwaukee, WI",5,"I came to the Mayo Clinic for the Executive health program where over the span of a few days a variety of appointments are scheduled.  I had heard about this program from a colleague.  The appointments set for you are based off a questionnaire you fill out when scheduling your visit.  Please note they book out many months in advance! I checked into a nearby hotel on Monday night and took a shuttle to the Mayo Clinic bright & early Tuesday morning.  I went to the 5th floor to the executive health area and checked in. I was given a tablet and a pager and was instructed to answer the questionnaire on the tablet. I did this and then waited patiently for my 7:30 appointment with the doctor who was going to oversee my file.  I was taken back by a nurse to give my list of supplements/vitamins/medications and weight as well as my blood pressure.  The doctor then came and spent an hour with me going through my medical history. He took his time, which was great!  Now that they are on the Epic system, he was able to pull my records from almost 20 years back. That was pretty impressive! After my time with the doctor I was told we would do a follow up call on Friday as he knew I wanted to drive home on Thursday night. I then went to a series of appointments throughout the day and finally when I got hungry I inquired on where to buy food.  I was told by one of the nurses that there is an executive lounge with coffee, beverages, salads, sandwiches and more!  I have to say I was irritated that I hadn't been informed about the lounge or given a tour upon my arrival.  You would think that the $1100 fee to be in the program would include a tour at least! The lounge was very nice and the concierge was helpful and set me up to have the Mayo Clinic app.  This app is awesome as it allowed me to see all my appointments, fill out the questionnaires ahead of my appointments and even gave me visibility of the doctors notes, results of my labs and more. I highly recommend downloading it! I ended that first day around 2 pm and just as I got back to my hotel, I was contacted about returning for additional tests on an area of concern. They worked me in for a 3:00 which was amazing! The additional testing gave me relief that I did not have anything to worry about. Thank goodness! I went back for my second day a little earlier as now I knew I could relax in the lounge. I then went to my first appointment of the day and continued going to all appointments with ease.  There were a couple appointments scheduled for later dates that I was trying to get in during my 3 day visit so I was told to be a checker. A checker is a person who goes to the department and checks to see if there are any cancellations that would enable you to be checked in to that spot. The catch is you have to wait in the lobby for 3-4 hours. While this process is a little daunting, versus being ultra comfortable in the executive lounge, they are pretty transparent with providing information on the likelihood of you getting in.  After I was told I would not be able to get in, I decided to head over to the healthy living building as I had a late afternoon group session to discuss stress. Once I checked in I was told I could relax in the waiting area.  I inquired about the spa and asked if there were any massage sessions available. Luckily I got in! I went into the spa and was briefly shown the facilities...basically a hot tub and sauna. I asked what I should do as I didn't bring a swimsuit and I was given a disposable bikini. Let me tell you that I am a size 8 and this bikini fit fine although if you are larger than a size 10, I'm not sure it would fit. I then went into the hot tub which was nice but the water wasn't very hot. I went into the steam room next and it was insanely steamy...I literally could not see my hand in front of my face! After getting out of the steam room I took a brief shower and waited for my massage therapist. The 50 minute deep pressure massage was very good although a little uncomfortable at times when he was trying to work out knots, I highly recommend this service! I paid $118 (massage plus tax) and was told I could not leave a tip as it was part of the Mayo Clinic services.  I went to my group class and headed back to the hotel around 6 pm. It was quite a long day! Day 3, today...I headed over at 6:30 am. I went to my appointments and was again met by professional, friendly faces.  I will be heading home shortly and this experience had been phenomenal. The only area for improvement based on my experiences here are communication. Based on my nature of asking questions I was able discover some great things that I otherwise wouldn't have known about since nobody told me. I highly recommend the executive health program and I will be returning next year!"
"43","Christal S.","Marquette, MI",5,"Lovely facility, efficient smooth process.  Kind Mayo staff at every juncture of our week long visit."
"44","Jennie D.","Mesa, AZ",1,"My 80 year old father who is hard of hearing and gets confused easily had a staff infection on his arm. I booked an appointment with doctor K. Kimes @ Mayo Clinic in Scottsdale. I was told at the door I was not allowed up with him after we made a long drive there! I was told I would have to wait outside in 100* heat till his appointment was done. They did NOT tell us this while booking. My father has slight dementia and can not remember or comprehend what doctors tell him that's why I always go with him, I am his care taker and bill payer. I was so distraught and upset by this I let my dad go up to get out of the heat but I called up to Dr. Kimes office to ask for an exception that I come up and accompany my dad. The receptionist was rude and said no. I said ""I just want to be clear, you asked Dr. Kimes & she said no?"" And the receptionist hung up on me!!!!!!!!!! Next thing I know I get a call from someone saying that I can come up. I go up and the doctor was SO rude it was unbelievable. I have reached out to the Mayo Clinic multiple times to get back to me regarding this and they have not. For a cash only hospital you sure have no idea how to treat loved ones of patients. We will not be returning to this rude doctor or any other doctor there besides Dr. Masory (if you're smart you will not lose him you are extremely lucky to even have him!!!). I expect an email so I can go into further detail and you can tell me what you have done to fix this issue. 4mycalanderonandroid@gma…PS don't give me any COVID BS either we both had masks and gloves on. And if Mike Pence can walk in without a face mask and an entorage then I should be able to assist my father with an infection, loss of hearing and dementia up to his appointment with masks and gloves."
"45","Robert P.","Hudson, WI",1,"it's amazing that you go there and they want to help, you pay every month and if it's not enough, they take you to a collection agency for a balance of less than $2300.00 been making payments of $100.00 a month on time aways on same day !! be careful it's all about the money !! remember covid ?? you would think they have something better to do!"
